[2024-11-26 14:18:34,158: INFO: main: welcome to our log]
[2024-11-27 11:54:52,416: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 11:54:52,434: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 11:54:52,440: INFO: common: created directory at: artifacts]
[2024-11-27 11:54:52,443: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 11:54:52,446: INFO: 1805952150: Downloading data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 11:55:40,671: INFO: 1805952150: Downloaded data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 12:06:04,715: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 12:06:04,718: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 12:06:04,721: INFO: common: created directory at: artifacts]
[2024-11-27 12:06:04,724: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 12:07:35,528: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 12:07:35,532: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 12:07:35,535: INFO: common: created directory at: artifacts]
[2024-11-27 12:07:35,538: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 12:07:35,542: INFO: 2619946697: Downloading data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 12:08:22,132: INFO: 2619946697: Downloaded data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 12:09:06,567: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 12:09:06,571: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 12:09:06,574: INFO: common: created directory at: artifacts]
[2024-11-27 12:09:06,577: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 12:09:06,582: INFO: 2619946697: Downloading data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 12:09:51,242: INFO: 2619946697: Downloaded data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 13:00:10,126: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 13:00:10,130: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 13:00:10,133: INFO: common: created directory at: artifacts]
[2024-11-27 13:00:10,136: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 13:02:02,067: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 13:02:02,071: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 13:02:02,074: INFO: common: created directory at: artifacts]
[2024-11-27 13:02:02,078: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 13:02:02,082: INFO: 2763251713: Downloading data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 13:02:51,688: INFO: 2763251713: Downloaded data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 13:54:51,054: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 13:54:51,058: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 13:54:51,062: INFO: common: created directory at: artifacts]
[2024-11-27 13:54:51,067: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 13:54:51,071: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 13:55:42,284: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 14:20:32,762: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-27 14:20:32,765: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 14:20:32,766: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 14:20:32,768: INFO: common: created directory at: artifacts]
[2024-11-27 14:20:32,769: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 14:20:32,770: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 14:21:22,280: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 14:21:24,350: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-27 18:33:49,799: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 18:33:49,815: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 18:33:49,817: INFO: common: created directory at: artifacts]
[2024-11-27 18:41:24,845: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 18:41:24,849: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 18:41:24,853: INFO: common: created directory at: artifacts]
[2024-11-27 18:58:30,991: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 18:58:30,994: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 18:58:30,996: INFO: common: created directory at: artifacts]
[2024-11-27 18:58:30,997: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-27 18:58:31,754: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-27 19:24:12,736: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-27 19:24:12,739: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 19:24:12,741: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 19:24:12,743: INFO: common: created directory at: artifacts]
[2024-11-27 19:24:12,744: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-27 19:24:12,745: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 19:25:19,838: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1sIFSQT3dMpiu6Odfdz7z5V9Dtk-UN9mi/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-27 19:25:22,438: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-27 19:25:22,439: INFO: main: *******************]
[2024-11-27 19:25:22,439: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-11-27 19:25:22,442: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-27 19:25:22,445: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-27 19:25:22,447: INFO: common: created directory at: artifacts]
[2024-11-27 19:25:22,449: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-27 19:25:23,138: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-27 19:25:24,497: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-11-28 10:49:28,516: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-28 10:49:28,542: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-28 10:49:28,546: INFO: common: created directory at: artifacts]
[2024-11-28 10:49:28,549: INFO: common: created directory at: artifacts\training]
[2024-11-28 10:52:14,300: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-28 10:52:14,305: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-28 10:52:14,311: INFO: common: created directory at: artifacts]
[2024-11-28 10:52:14,315: INFO: common: created directory at: artifacts\training]
[2024-11-28 10:57:32,113: INFO: common: yaml file: config\config.yaml loaded successfully]
